StreetAddress,CityZip,State
7 Springs Junction,Dormansville_12055,NY
0 Vera Place,Albany_12206,NY
66 Johnson Parkway,Coeymans_12045,NY
6 Hayes Trail,Albany_12208,NY
2365 Brentwood Way,Coeymans Hollow_12046,NY
727 Pennsylvania Lane,Albany_12203,NY
1 Butterfield Circle,Albany_12223,NY
0786 Knutson Park,Altamont_12009,NY
100 Mayfield Crossing,Watervliet_12189,NY
05531 Lukken Lane,Mckownville_12203,NY
9 Center Hill,Menands_12204,NY
7 Farragut Center,Delmar_12054,NY
0024 2nd Junction,Albany_12226,NY
8296 Clemons Alley,Albany_12207,NY
24895 Miller Plaza,Albany_12225,NY
75345 Mendota Court,Albany_12204,NY
63961 Dryden Point,Rensselaerville_12147,NY
9480 Quincy Road,Albany_12209,NY
8 Basil Point,Menands_12204,NY
85 Kensington Crossing,Newtonville_12128,NY
59 Gateway Pass,Guilderland_12084,NY
9 Quincy Center,Albany_12207,NY
70812 Fuller Circle,Albany_12247,NY
267 Eagle Crest Plaza,Albany_12227,NY
2 Harper Hill,Siena_12211,NY
6 Anzinger Alley,Troy_12183,NY
6 Green Ridge Lane,Selkirk_12158,NY
359 Spaight Plaza,Berne_12023,NY
494 Bunker Hill Hill,Cohoes_12047,NY
8 Grim Terrace,Alcove_12007,NY
7 Bluejay Street,Alcove_12007,NY
155 International Trail,Newtonville_12128,NY
147 Messerschmidt Center,Coeymans_12045,NY
42884 Charing Cross Plaza,South Bethlehem_12161,NY
978 Eastwood Terrace,Albany_12201,NY
3253 Hallows Plaza,Watervliet_12189,NY
2 Knutson Crossing,Clarksville_12041,NY
1 Portage Pass,Clarksville_12041,NY
4355 Fairfield Pass,Feura Bush_12067,NY
9 Dakota Drive,Berne_12023,NY
93 Holmberg Trail,Albany_12227,NY
4075 Cody Circle,East Berne_12059,NY
6 Transport Avenue,Feura Bush_12067,NY
79 Division Court,Cohoes_12047,NY
4 Darwin Hill,Albany_12206,NY
8625 Little Fleur Point,Albany_12202,NY
054 Lerdahl Hill,Guilderland_12084,NY
8312 Luster Circle,Albany_12205,NY
8 Pankratz Hill,Selkirk_12158,NY
187 Park Meadow Lane,Ravena_12143,NY
92318 Namekagon Street,Troy_12183,NY
965 Hudson Alley,Albany_12208,NY
1400 Sutherland Circle,Albany_12210,NY
3 Ronald Regan Trail,Albany_12202,NY
249 Welch Junction,Roessleville_12205,NY
0 Mayer Place,Delmar_12054,NY
88022 Nova Center,Albany_12209,NY
16450 Melby Terrace,Latham_12110,NY
2989 Debra Park,Albany_12201,NY
81 Green Crossing,Altamont_12009,NY
33 Weeping Birch Avenue,Selkirk_12158,NY
367 Kings Parkway,Slingerlands_12159,NY
3 Raven Terrace,East Berne_12059,NY
97673 Elgar Parkway,Menands_12204,NY
3644 Grayhawk Alley,Mckownville_12203,NY
8 Grim Pass,Albany_12260,NY
